id,desc
004c744a-2b82-49b3-a536-90dbb68f368e,"Vectra is a cybersecurity platform that uses AI to detect and automatically stop attackers in real-time while collecting data to perform conclusive incident investigations. It specializes in cloud and network detection and response (NDR) – from cloud and data center workloads to accounts, user, and IoT devices. The company offers four applicationson the Cognito platform to address high-priority use cases. Cognito Detect for Office365 and Azure AD finds and stops attacks in enterprise SaaS applications and the Microsoft 365 ecosystem. Cognito Stream sends security-enriched metadata in zeek format to data lakes and SIEMs. Cognito Recall is a cloud-based application to store and investigate threats in enriched metadata. And Cognito Detect uses AI to reveal and prioritize hidden and unknown attackers at speed. Vectra was founded in 2011 and is based in San Jose, California.Read More"
0062d2eb-8210-480a-adef-ec91d0e74855,"Roadzen is a global leader in the P&C insurance space. Insurers and partners across the world use Roadzen's technology to launch new products, manage risk better and resolve claims faster. A rapidly expanding suite of products includes auto underwriting, claims and assistance, telematics, travel, mobile and e-commerce insurance - all in anintegrated, open, real-time platform.Read More"
00657562-4dd3-41f9-aceb-df114606bc9e,"Restream is a multi-streaming solution that allows producers to analyze and interact with their viewers across platforms. Using the platform, users can stream live video to any live stream service. The platform includes ingesting service in over 80 countries serving a million users. Capabilities include analytics, scheduling, shared chat,monitoring, and seamless integration with encoders.It was founded in 2015 and is headquartered in Austin, Texas.Read More"
00b16654-5d01-4f2f-b6b3-ee2ef13c0d9e,"DLP works for 1% of companies; fortunately there is Cyberhaven for the other 99%. Cyberhaven makes data protection simple, accurate, and comprehensive. With it's Data Detection and Response (DDR) platform, Cyberhaven automatically discovers and classifies data, provides continuous risk detection, delivers accurate blocking and incidentresponse, and improves user behavior.Read More"
00b4e919-4d10-4ce8-b013-b6cf73ebd780,"Shift Technology delivers AI-native decision automation and optimization solutions built specifically for the global insurance industry. Addressing several critical processes across the insurance policy lifecycle, Shift helps insurers achieve faster, more accurate claims and policy resolutions. Shift has analyzed billions of insurance transactionsto date and was presented Frost & Sullivan’s 2020 Global Claims Solutions for Insurance Market Leadership Award.Read More"
00c83f0f-9a68-4145-8fea-e58f970541c8,"Clutch is a Toronto-based technology company that is reinventing the way people buy and own cars. Clutch offers high-quality certified vehicles at great prices through a fully online customer experience. At Clutch.ca, customers browse inventory online, buy the car that’s right for them, and enjoy effortless at-home delivery. Clutch’s mission is toprovide customers with a delightful car buying experience by offering high-quality cars at great prices with ultimate convenience while making a positive impact on the communities in which it operates.Read More"
01569c3d-df62-4033-8539-89bef1a69d34,"FoodLogiQ specializes in supplier management, food safety compliance, quality incident, and whole chain traceability to verify supplier compliance with food safety and act, allowing food companies to improve global supply chain visibility, streamline supplier management, build quality issue tracking, and reporting."
0169b008-e0a9-4613-ac97-14c28486a38a,"3DFortify is an advanced manufacturing startup that aims to disrupt additive manufacturing, ushering in a new generation of custom, high performance products. We have developed a patented process that combines 3D printing and magnetics to create aligned reinforced carbon fiber composites."
0275df14-12b1-4056-99ea-913738197922,"gradient A.I., we’re tackling some of the most challenging problems within the insurance and healthcare industries while leveraging advanced data analysis and machine intelligence. You have the historical data and the deep understanding of the challenges. Our team will work with you to address these challenges using our product that prioritizesyour needs. 
We strive to establish a true partnership to help you get the most out of our products and engineering expertise.Read More"
02e1c98c-c3d7-4b70-b8d3-d0a182dd3ef9,"WebPT  is a rehab therapy platform designed for enhancing patient care and fueling business growth. WebPT’s product suite provides a robust end-to-end solution covering the entire rehab therapy business cycle, from billing and managing a practice to delivering quality, evidence-based care. It was founded in 2008 and headquartered in Phoenix,Arizona.Read More"
